"G_InP - RawData"
"Wavelength nm.","Abs."
584.00,0.001
584.50,0.001
585.00,0.001
585.50,0.001
586.00,0.001
586.50,0.001
587.00,0.001
587.50,0.001
588.00,0.001
588.50,0.001
589.00,0.001
589.50,0.001
590.00,0.001
590.50,0.001
591.00,0.001
591.50,0.001
592.00,0.001
592.50,0.001
593.00,0.001
593.50,0.001
594.00,0.001
594.50,0.001
595.00,0.001
595.50,0.001
596.00,0.001
596.50,0.001
597.00,0.001
597.50,0.001
598.00,0.001
598.50,0.001
599.00,0.001
599.50,0.001
600.00,0.001
600.50,0.001
601.00,0.001
601.50,0.001
602.00,0.001
602.50,0.001
603.00,0.001
603.50,0.001
604.00,0.001
604.50,0.001
605.00,0.001
605.50,0.001
606.00,0.001
606.50,0.001
607.00,0.001
607.50,0.001
608.00,0.001
608.50,0.001
609.00,0.001
609.50,0.001
610.00,0.001
610.50,0.001
611.00,0.001
611.50,0.001
612.00,0.001
612.50,0.001
613.00,0.001
613.50,0.001
614.00,0.001
614.50,0.001
615.00,0.001
615.50,0.001
616.00,0.001
616.50,0.001
617.00,0.001
617.50,0.001
618.00,0.001
618.50,0.001
619.00,0.001
619.50,0.001
620.00,0.001
620.50,0.001
621.00,0.001
621.50,0.001
622.00,0.001
622.50,0.001
623.00,0.001
623.50,0.001
624.00,0.001
624.50,0.001
625.00,0.001
625.50,0.001
626.00,0.001
626.50,0.001
627.00,0.001
627.50,0.001
628.00,0.001
628.50,0.001
629.00,0.001
629.50,0.001
630.00,0.001
630.50,0.001
631.00,0.001
631.50,0.001
632.00,0.001
632.50,0.001
633.00,0.001
633.50,0.001
634.00,0.001
634.50,0.001
635.00,0.001
635.50,0.001
636.00,0.001
636.50,0.001
637.00,0.001
637.50,0.001
638.00,0.001
638.50,0.001
639.00,0.001
639.50,0.001
640.00,0.001
640.50,0.001
641.00,0.001
641.50,0.001
642.00,0.001
642.50,0.001
643.00,0.001
643.50,0.001
644.00,0.001
644.50,0.001
645.00,0.001
645.50,0.001
646.00,0.001
646.50,0.001
647.00,0.001
647.50,0.001
648.00,0.001
648.50,0.001
649.00,0.001
649.50,0.001
650.00,0.001
650.50,0.001
651.00,0.001
651.50,0.001
652.00,0.001
652.50,0.001
653.00,0.001
653.50,0.001
654.00,0.001
654.50,0.001
655.00,0.001
655.50,0.001
656.00,0.001
656.50,0.001
657.00,0.001
657.50,0.001
658.00,0.001
658.50,0.000
659.00,0.001
659.50,0.001
660.00,0.001
660.50,0.001
661.00,0.001
661.50,0.001
662.00,0.001
662.50,0.001
663.00,0.001
663.50,0.001
664.00,0.001
664.50,0.001
665.00,0.001
665.50,0.001
666.00,0.001
666.50,0.001
667.00,0.001
667.50,0.001
668.00,0.001
668.50,0.001
669.00,0.001
669.50,0.000
670.00,0.000
670.50,0.000
671.00,0.000
671.50,0.001
672.00,0.001
672.50,0.001
673.00,0.001
673.50,0.000
674.00,0.000
674.50,0.000
675.00,0.000
675.50,0.000
676.00,0.001
676.50,0.001
677.00,0.001
677.50,0.000
678.00,0.001
678.50,0.000
679.00,0.000
679.50,0.001
680.00,0.001
680.50,0.001
681.00,0.001
681.50,0.001
682.00,0.000
682.50,0.000
683.00,0.000
683.50,0.000
684.00,0.000
684.50,0.000
685.00,0.001
685.50,0.001
686.00,0.001
686.50,0.001
687.00,0.001
687.50,0.001
688.00,0.000
688.50,0.000
689.00,0.001
689.50,0.000
690.00,0.000
690.50,0.001
691.00,0.000
691.50,0.000
692.00,0.000
692.50,0.001
693.00,0.001
693.50,0.001
694.00,0.001
694.50,0.001
695.00,0.000
695.50,0.000
696.00,0.000
696.50,0.000
697.00,0.000
697.50,0.000
698.00,0.000
698.50,0.000
699.00,0.000
699.50,0.000
700.00,0.000
